"","TRANSECT","TRAP_START","PeriodID","JulianDate","month","year","Trap.Effort","Woylie_Caps","Chuditch_Caps","Quenda_Caps","Koomal_Caps","Round","prop.2yrsburnt.500m.transect","prop.2yrsburnt.1km.transect","prop.great10yrs.unburnt.500m.transect","prop.great10yrs.unburnt.1km.transect","prop.great20yrs.unburnt.500m.transect","prop.great20yrs.unburnt.1km.transect","mean.tsf.transect","tsf.cat.shannon.diversity","prop.5yrsharvest.500m.transect","prop.20yrsharvest.500m.transect","prop.great20yrsharvest.500m.transect","prop.5yrsharvest.1km.transect","prop.20yrsharvest.1km.transect","prop.great20yrsharvest.1km.transect","tsh.shannon.diversity","mean.tsh.500m.transect","Year","BaitIntensity.Transect.Twelve","BaitIntensity.Transect.Six","BaitIntensity.Transect.Three","Rain.ThreeMonths","Rain.SixMonths","Rain.TwelveMonths","Rain.PrvAutumn","mean.smNDVI","ndvi.monthly.anomaly","prop.pasture.1km","prop.pasture.5km","DistCentroidPasture","mean.annual.precip","rain.anomaly.twelve","valleys.prop.area","Woylie_Abundance","Woylie_SD","Koomal_Abundance","Koomal_SD","Chuditch_Abundance","Chuditch_SD","Quenda_PA"
"11","Balban",2014-11-11,30,315,11,2014,10000,88,1,1,55,"Nov_2014",0,0,0.415939636878095,0.433318161128812,0.0205140297099741,0.0349340009103323,9.21537113189697,0.0967003314598349,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,35.4514350891113,2014,41.9754943847656,23.3098373413086,12.9567680358887,208.400527954102,528.757202148438,602.311828613281,150.805389404297,66.113662109375,0.0458169217653296,0.0132131244457582,0.177176999992133,14.6538708867637,609.22705078125,-0.0113508127373874,0.312481863212618,92.5493333333333,105,218.189666666667,409,8.941,17,1
"12","Balban",2015-06-16,31,167,6,2015,10000,60,3,1,52,"Jun_2015",0,0,0.415939636878095,0.433318161128812,0.0205140297099741,0.0349340009103323,9.80867290496826,0.756351407605597,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,36.044734954834,2015,48.0442924499512,18.9905300140381,12.1343765258789,181.401596069336,197.798904418945,630.354553222656,154.946487426758,66.113662109375,0.10946979667626,0.0130062075081289,0.176964590561154,14.6538708867637,609.22705078125,0.034679192945082,0.312481863212618,69.9923333333333,82,213.568,401.025,7.313,14,1
"13","Balban",2015-11-10,32,314,11,2015,9950,69,1,0,61,"Nov_2015",0,0,0.415939636878095,0.433318161128812,0.0205140297099741,0.0349340009103323,10.2105865478516,0.756351407605597,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,36.4466438293457,2015,47.626277923584,23.4212665557861,11.0619277954102,134.950256347656,338.655639648438,517.44970703125,154.946487426758,66.113662109375,-0.0861726091712127,0.0130062075081289,0.176964590561154,14.6538708867637,609.22705078125,-0.150645549360141,0.312481863212618,76.6833333333333,90,226.003666666667,437.025,5.34666666666667,12,0
"14","Balban",2016-10-25,34,299,10,2016,10000,81,2,1,53,"Oct_2016",0.021457203489743,0.0591715976331361,0.394482433388352,0.385298133818844,0.0205140297099741,0.0344788347746928,10.9382829666138,0.831290455182192,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,37.4035873413086,2016,42.7072486877441,22.292121887207,11.2395992279053,291.871795654297,542.578247070312,745.520935058594,181.401596069336,66.113662109375,0.0490998901554455,0.0131540053207213,0.17742087748696,14.6538708867637,609.22705078125,0.223716074495651,0.312481863212618,91.0363333333333,105,172.930333333333,333.025,5.33,10.0250000000001,1
"15","Balban",2017-05-02,35,122,5,2017,10000,110,3,1,41,"May_2017",0.021457203489743,0.0591715976331361,0.394482433388352,0.385298133818844,0.0205140297099741,0.0344788347746928,11.4550285339355,0.831290455182192,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,37.9203300476074,2017,44.5051383972168,22.2130184173584,11.0731964111328,89.9405670166016,137.687606811523,666.166381835938,213.550262451172,66.113662109375,0.102569771808815,0.0288501330180313,0.188383564230252,14.6538708867637,609.22705078125,0.0934615936401226,0.312481863212618,111.105333333333,123,136.701333333333,261,5.38866666666667,10,1
"16","Balban",2017-11-07,36,311,11,2017,10000,111,0,0,32,"Nov_2017",0.021457203489743,0.0591715976331361,0.394482433388352,0.385298133818844,0.0205140297099741,0.0344788347746928,11.9717750549316,0.831290455182192,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,38.4370765686035,2017,44.702075958252,22.4890575408936,11.0335311889648,238.154037475586,429.506439208984,567.194091796875,213.550262451172,66.113662109375,-0.0411361963343727,0.0288501330180313,0.188383564230252,14.6538708867637,609.22705078125,-0.0689939143878682,0.312481863212618,117.13,133,129.673,246,3.02566666666667,8,0
"17","Balban",2018-11-20,38,324,11,2018,10000,107,1,0,28,"Nov_2018",0.905682622023108,0.846722803823395,0.0837066729544919,0.113450159308147,0.0186276821504362,0.0241238051888939,2.5862557888031,0.368772420832221,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,39.4705696105957,2018,44.0435600280762,23.6103248596191,11.0735120773315,215.416137695312,456.221008300781,604.177673339844,75.5978393554688,66.113662109375,-0.124918242271776,0.054980786284363,0.195094128845987,14.6538708867637,609.22705078125,-0.00828817012463763,0.312481863212618,117.253333333333,133,112.475666666667,218,3.78033333333333,10,0
"18","Boyicup",2000-03-21,1,81,3,2000,10000,134,0,2,9,"Mar_2000",0.129388657009575,0.102147276477011,0.524429167689664,0.492175178939706,0.101153940584336,0.10736382385054,12.6959037780762,1.2304711005437,0,0,0.709550699729929,0,0.0014557806623802,0.662137571272595,0,30.179084777832,2000,17.4531860351562,8.40558242797852,0,128.5,343.430572509766,890.565551757812,185.946899414062,65.8984326171875,-0.0100655443525593,0.11129270515762,0.0810601584941023,5.95917563770696,654.424987792969,0.360836716765999,0.364573512876363,151.493666666667,173,43.3873333333333,90,2.74533333333333,7,1
"19","Boyicup",2001-03-20,3,79,3,2001,10000,138,0,0,15,"Mar_2001",0,0,0.558556346673214,0.562537910954749,0.101153940584336,0.10736382385054,13.6911201477051,0.953218100000078,0,0,0.709550699729929,0,0.0014557806623802,0.662137571272595,0,31.1742992401123,2001,15.8662910461426,6.59467458724976,0,21.7567348480225,136.883682250977,631.436096191406,134.450546264648,65.8984326171875,-0.127733937268914,NA,NA,NA,654.424987792969,-0.0351283829779971,0.364573512876363,153.463333333333,173,57.6323333333333,114,0.848333333333333,4,0
"20","Boyicup",2002-03-12,5,71,3,2002,10000,137,0,0,13,"Mar_2002",0,0,0.558556346673214,0.562537910954749,0.101153940584336,0.10736382385054,14.6671962738037,0.951927506829521,0,0,0.709550699729929,0,0.0014557806623802,0.662137571272595,0,32.1503753662109,2002,15.5807399749756,7.58798360824585,3.25008940696716,99.6850967407227,275.130584716797,603.315368652344,126.925827026367,65.8984326171875,-0.103647604785677,0.110915548291794,0.0779513924256932,5.95917563770696,654.424987792969,-0.0780985141062398,0.364573512876363,147.931333333333,163,66.8116666666667,132,0.802666666666667,4,0
"21","Boyicup",2003-03-11,7,70,3,2003,10000,69,0,1,23,"Mar_2003",0,0,0.558556346673214,0.562537910954749,0.101153940584336,0.10736382385054,15.6624116897583,0.951927506829521,0,0,0.709550699729929,0,0.0014557806623802,0.662137571272595,0,33.1455917358398,2003,18.0509967803955,9.13566875457764,3.39295029640198,49.9109344482422,216.904434204102,676.565612792969,146.516006469727,65.8984326171875,-0.145105624861733,NA,NA,NA,654.424987792969,0.0338321815532574,0.364573512876363,82.2486666666667,95.0250000000001,113.282333333333,220.025,0.562333333333333,3,1
"22","Boyicup",2004-03-09,9,69,3,2004,10000,47,0,0,68,"Mar_2004",0,0,0.558556346673214,0.562537910954749,0.101153940584336,0.10736382385054,16.6576271057129,0.951927506829521,0,0,0.709550699729929,0,0.0014557806623802,0.662137571272595,0,34.1408081054688,2004,18.568151473999,6.205482006073,1.36696183681488,31.0221862792969,287.103332519531,780.777954101562,180.202209472656,65.8984326171875,-0.0427078741904031,0.112361316277462,0.0800823028500418,5.95917563770696,654.424987792969,0.193074788807677,0.364573512876363,51.9286666666667,59,253.327,472,0.714,3,0
"23","Boyicup",2005-03-08,11,67,3,2005,10000,6,0,0,27,"Mar_2005",0,0,0.558556346673214,0.562537910954749,0.101890498404125,0.107727769016135,17.6528415679932,0.951927506829521,0,0,0.709550699729929,0,0,0.663593351934975,0,35.1360244750977,2005,19.2515125274658,9.56346130371094,4.84224033355713,21.7629165649414,125.677490234375,545.569519042969,108.856735229492,65.8984326171875,-0.176440074772282,0.110946978030613,0.0786970073542893,5.95917563770696,654.424987792969,-0.166337579983173,0.364573512876363,10.9413333333333,16,149.679333333333,286.025,0.59,3,0
"24","Boyicup",2005-11-01,12,305,11,2005,10000,13,0,0,49,"Nov_2005",0,0,0.828136508715934,0.816692951595293,0.103854652590228,0.109668809899309,18.303560256958,0.953167130610288,0,0,0.709550699729929,0,0,0.663593351934975,0,35.7867431640625,2005,19.1291542053223,9.54757308959961,4.73583841323853,306.563690185547,605.164489746094,859.723754882812,108.856735229492,65.8984326171875,-0.0156774068432067,0.110946978030613,0.0786970073542893,5.95917563770696,654.424987792969,0.313708631117844,0.364573512876363,13.9443333333333,16,200.769666666667,389,0.754,3,0
"25","Boyicup",2006-03-21,13,80,3,2006,10000,5,1,3,76,"Mar_2006",0,0,0.828136508715934,0.816692951595293,0.103854652590228,0.109668809899309,18.686336517334,0.953167130610288,0,0,0.709550699729929,0,0,0.663593351934975,0,36.1695137023926,2006,22.1914081573486,9.35006427764893,7.90449476242065,74.2763900756836,327.116790771484,924.839782714844,308.853057861328,65.8984326171875,0.0105709163385289,0.112078448628092,0.0793081671318272,5.95917563770696,654.424987792969,0.413209764244855,0.364573512876363,6.532,9,276.693666666667,525,1.54033333333333,4,1
"26","Boyicup",2006-11-14,14,318,11,2006,10000,4,0,1,67,"Nov_2006",0,0,0.828136508715934,0.816692951595293,0.524429167689664,0.492175178939706,19.3370532989502,0.723964633287809,0,0,0.709550699729929,0,0,0.663593351934975,0,36.8202323913574,2006,18.5806636810303,9.23059940338135,4.52749967575073,224.477508544922,386.779693603516,562.347351074219,308.853057861328,65.8984326171875,-0.0246336728244827,0.112078448628092,0.0793081671318272,5.95917563770696,654.424987792969,-0.14070006255305,0.364573512876363,4.849,7,269.763666666667,512,0.74,3,1
"27","Boyicup",2007-03-20,15,79,3,2007,10000,4,0,1,89,"Mar_2007",0.0380554873557574,0.0605362125439767,0.794009329732384,0.795462816935582,0.524429167689664,0.492175178939706,19.1166820526123,0.868238673069214,0,0,0.709550699729929,0,0,0.663593351934975,0,37.1647300720215,2007,19.9934940338135,13.8448247909546,4.55321168899536,40.8851051330566,168.589859008789,499.718994140625,85.4418334960938,65.8984326171875,-0.126979674689046,0.110852688814156,0.07881516491128,5.95917563770696,654.424987792969,-0.23639988774586,0.364573512876363,4.82766666666667,7,349.859333333333,667,0.989333333333333,4,1
"28","Boyicup",2008-04-01,17,92,4,2008,10000,6,0,1,95,"Apr_2008",0.0380554873557574,0.0605362125439767,0.923397986741959,0.897610093412592,0.524429167689664,0.492175178939706,20.1501750946045,1.07862843657426,0,0,0.709550699729929,0,0,0.663593351934975,0,38.1982231140137,2008,14.2855968475342,9.521484375,4.88114929199219,14.669095993042,159.718215942383,670.475463867188,126.176383972168,65.8984326171875,-0.0264385310666918,0.110664110381243,0.0801882372114817,5.95917563770696,654.424987792969,0.0245260746053548,0.364573512876363,7.16166666666667,10,359.869666666667,684,2.41233333333333,7,1
"29","Boyicup",2009-03-10,19,69,3,2009,10000,10,2,0,77,"Mar_2009",0.0380554873557574,0.0605362125439767,0.923397986741959,0.897610093412592,0.524429167689664,0.492175178939706,21.0879745483398,0.814689550824212,0,0,0.709550699729929,0,0,0.663593351934975,0,39.1360206604004,2009,15.9271593093872,9.69817638397217,4.95988845825195,56.1949310302734,281.484771728516,791.993957519531,232.487319946289,65.8984326171875,-0.0151824722047232,0.111669862023447,0.080522337889869,5.95917563770696,654.424987792969,0.210213503904413,0.364573512876363,12.015,16,324.521333333333,613.05,4.57433333333333,10,0
"30","Boyicup",2010-04-20,21,110,4,2010,10000,21,2,1,82,"Apr_2010",0.777805057697029,0.716971976222249,0.14559292904493,0.180638117190343,0.103363614043702,0.113550891665656,7.10394906997681,0.664059827777739,0,0,0.709550699729929,0,0,0.663593351934975,0,40.2460708618164,2010,18.3285961151123,9.19136428833008,4.60114526748657,26.7432632446289,92.950553894043,637.549560546875,107.532005310059,65.8984326171875,0.00893546427474777,0.110946978030613,0.0795485566443254,5.95917563770696,654.424987792969,-0.0257866486776516,0.364573512876363,23.2123333333333,27,326.105333333333,614.025,5.61066666666667,12,1
"31","Boyicup",2011-03-22,23,81,3,2011,10000,16,4,1,93,"Mar_2011",0.777805057697029,0.716971976222249,0.14559292904493,0.180638117190343,0.103363614043702,0.125682397185491,8.02260875701904,0.664059827777739,0,0,0.709550699729929,0,0,0.663593351934975,0,41.1647300720215,2011,18.7514324188232,9.45447158813477,4.77570915222168,99.9640197753906,201.08984375,479.989501953125,104.47274017334,65.8984326171875,-0.0985249838348844,0.111544143068171,0.0832725568887893,5.95917563770696,654.424987792969,-0.266547716076861,0.364573512876363,19.3336666666667,24,316.186333333333,605.025,9.824,18,1
"32","Boyicup",2012-03-20,25,80,3,2012,10000,19,4,1,62,"Mar_2012",0.777805057697029,0.716971976222249,0.14559292904493,0.180638117190343,0.103363614043702,0.125682397185491,9.01782512664795,0.664059827777739,0,0,0.709550699729929,0,0,0.663593351934975,0,42.1599464416504,2012,18.5124454498291,9.20254135131836,4.50294542312622,67.4850997924805,302.55419921875,729.714233398438,116.807281494141,65.8984326171875,-0.0123657021754717,0.112204167583367,0.0830688369629433,5.95917563770696,654.424987792969,0.115046410222476,0.364573512876363,21.3503333333333,26,246.323333333333,478.025,8.78266666666667,16,1
"33","Boyicup",2013-03-25,27,84,3,2013,10000,13,0,0,81,"Mar_2013",0,0,0.14559292904493,0.180638117190343,0.103363614043702,0.125682397185491,10.029444694519,0.515470446388615,0,0,0.709550699729929,0,0,0.663593351934975,0,43.1715660095215,2013,17.5461826324463,8.51499366760254,4.09389495849609,96.1145706176758,296.479705810547,607.990295410156,73.9789199829102,65.8984326171875,-0.0756543468742224,0.112927051576201,0.0838837166663271,5.95917563770696,654.424987792969,-0.0709549501454892,0.364573512876363,16.4533333333333,21,292.037666666667,550.025,3.24266666666667,9,0
"34","Boyicup",2014-03-25,29,84,3,2014,10000,22,2,0,74,"Mar_2014",0,0,0.14559292904493,0.180638117190343,0.103363614043702,0.125682397185491,11.0273933410645,0.515470446388615,0,0,0.709550699729929,0,0,0.663593351934975,0,44.1695175170898,2014,13.3094530105591,8.3327522277832,4.13928318023682,12.387638092041,238.515670776367,678.300109863281,174.565124511719,65.8984326171875,-0.0557106924931896,0.110506961687148,0.0816753926701571,5.95917563770696,654.424987792969,0.0364825954321071,0.364573512876363,23.7526666666667,28,261.723666666667,494,4.31033333333333,9,0
"35","Boyicup",2015-03-24,31,83,3,2015,10000,25,1,1,60,"Mar_2015",0,0,0.14559292904493,0.180638117190343,0.103363614043702,0.125682397185491,12.022608757019,0.515470446388615,0,0,0.709550699729929,0,0,0.663593351934975,0,45.1647300720215,2015,15.2920894622803,3.91887474060059,0,26.9814567565918,188.37272644043,647.674621582031,157.425827026367,65.8984326171875,-0.112768532696524,0.109564069522582,0.0802575019862693,5.95917563770696,654.424987792969,-0.0103149579200864,0.364573512876363,29.622,37,222.18,426,3.40666666666667,8,1
"36","Boyicup",2016-04-05,33,96,4,2016,10000,52,1,0,58,"Apr_2016",0,0,0.14559292904493,0.180638117190343,0.107046403142647,0.139269683367706,13.0561027526855,0.515470446388615,0,0,0.709550699729929,0,0,0.663593351934975,0,46.1982231140137,2016,15.9723110198975,4.47190046310425,0.698396444320679,161.330581665039,222.524398803711,651.816467285156,194.04801940918,65.8984326171875,-0.0294745583815951,0.110821259075337,0.080872736162324,5.95917563770696,654.424987792969,-0.00398597326885342,0.364573512876363,58.6243333333333,67,218.088666666667,413,3.60133333333333,8,0
"37","Boyicup",2017-03-28,35,87,3,2017,10000,55,5,1,41,"Mar_2017",0,0,0.183648416400687,0.24117432973432,0.110974711514854,0.162804804076186,14.0321788787842,0.511743023084472,0,0,0.709550699729929,0,0,0.663593351934975,0,47.1743011474609,2017,12.5981550216675,5.11711692810059,1.3918514251709,84.9825592041016,232.134231567383,789.850708007812,219.939300537109,65.8984326171875,0.03466396375861,0.110224094037779,0.080424552325463,5.95917563770696,654.424987792969,0.206938492173967,0.364573512876363,64.5906666666667,76,157.489666666667,305,6.201,11,1
"38","Boyicup",2017-10-17,36,290,10,2017,10000,98,0,0,15,"Oct_2017",0,0,0.183648416400687,0.24117432973432,0.14559292904493,0.180638117190343,14.5872030258179,0.511743023084472,0,0,0.709550699729929,0,0,0.663593351934975,0,47.729320526123,2017,15.4197292327881,11.0010089874268,4.35165214538574,364.978607177734,424.43896484375,618.641174316406,219.939300537109,65.8984326171875,0.0414948792402545,0.110224094037779,0.080424552325463,5.95917563770696,654.424987792969,-0.0546797786515495,0.364573512876363,103.151,114,95.4703333333333,191.025,3.487,9,0
"39","Boyicup",2018-04-17,37,107,4,2018,10000,81,2,0,50,"Apr_2018",0,0,0.183648416400687,0.24117432973432,0.14559292904493,0.180638117190343,15.084810256958,0.605945215462683,0,0,0.709550699729929,0,0,0.663593351934975,0,48.2269325256348,2018,18.3577861785889,7.35677814483643,3.68285369873047,40.6505546569824,141.60221862793,566.041198730469,87.7320098876953,65.8984326171875,-0.0344714932318911,0.109846937171952,0.0801434188277955,5.95917563770696,654.424987792969,-0.135055645354515,0.364573512876363,87.4806666666667,101,143.917666666667,277,4.704,10,0
"40","Camelar",2000-10-31,2,305,10,2000,10000,79,0,3,3,"Oct_2000",0,0.000118259224219489,0.0105966367196498,0.0399716177861873,0.0105966367196498,0.0378429517502365,5.34803628921509,0.049332091675254,0,0,0.791292328956462,0,0,0.738883632923368,0,30.791524887085,2000,18.0621509552002,0,4.80695247650146,329.143951416016,490.590209960938,756.781188964844,178.256378173828,66.70162109375,6.34678303204866e-06,0.00750405831725321,0.0969987942562753,6.36248494068518,619.626342773438,0.221350896053746,0.107728510911374,91.9306666666667,106,16.8533333333333,39,1.62566666666667,6,1
"41","Camelar",2001-10-30,4,303,10,2001,10000,78,0,2,2,"Oct_2001",0,0.000118259224219489,0.0105966367196498,0.0399716177861873,0.0105966367196498,0.0378429517502365,6.34325122833252,0.049332091675254,0,0,0.791292328956462,0,0,0.738883632923368,0,31.7867393493652,2001,26.116548538208,11.4088926315308,5.43148708343506,234.237533569336,399.620269775391,470.885009765625,124.607460021973,66.70162109375,-0.100445847083495,NA,NA,NA,619.626342773438,-0.240050047488376,0.107728510911374,87.1033333333333,97,20.78,48,0.797,3.02500000000009,1
"42","Camelar",2002-11-05,6,309,11,2002,10000,51,0,0,14,"Nov_2002",0.00046072333563695,0.000473036896877956,0.0101359133840129,0.0396168401135289,0.0101359133840129,0.0374881740775781,7.34777307510376,0.0504442455609214,0,0,0.791292328956462,0,0,0.738883632923368,0,32.8010940551758,2002,21.8389511108398,11.3120670318604,5.66157054901123,219.657501220703,487.054901123047,721.671997070312,119.996887207031,66.70162109375,-0.0680721329201001,0.00759594474562774,0.0874975337060178,6.36248494068518,619.626342773438,0.164689018610991,0.107728510911374,54.5196666666667,64,45.2426666666667,90,0.671,3,0
"43","Camelar",2003-11-04,8,308,11,2003,10000,36,0,1,8,"Nov_2003",0.00046072333563695,0.000354777672658467,0.0101359133840129,0.0396168401135289,0.0101359133840129,0.0374881740775781,8.34298801422119,0.0504442455609214,0,0,0.791292328956462,0,0,0.738883632923368,0,33.7963104248047,2003,23.4437103271484,11.3374462127686,6.15761280059814,325.076599121094,582.307495117188,743.489196777344,147.397552490234,66.70162109375,-0.0924905151654938,NA,NA,NA,619.626342773438,0.199899270662861,0.107728510911374,40.623,47,36.56,78,0.85,4,1
"44","Camelar",2004-11-02,10,307,11,2004,10000,12,1,5,6,"Nov_2004",0.775627735544805,0.740066225165563,0.0101359133840129,0.0376064333017975,0.0101359133840129,0.0374881740775781,2.64521646499634,0.565749672792035,0,0,0.791292328956462,0,0,0.738883632923368,0,34.7915267944336,2004,24.3987922668457,12.249361038208,6.02087879180908,162.389587402344,433.545440673828,509.987365722656,175.61979675293,66.70162109375,-0.177466222853439,0.00823914974424944,0.0869406993313603,6.36248494068518,619.626342773438,-0.176943698939653,0.107728510911374,14.225,18,37.1056666666667,81,1.87933333333333,5,1
